"","P","Q","E"
"1981-07-06",2.3864,2.86666666666667,1.0345
"1981-07-07",3.3816,2.2912962962963,1.0304
"1981-07-08",6.3618,3.07268518518519,1.0374
"1981-07-09",13.8249,5.19962962962963,1.0573
"1981-07-10",0.0817,2.63398148148148,1.0019
"1981-07-11",3.4701,2.24055555555556,0.9894
"1981-07-12",8.0157,2.5287037037037,1.0101
"1981-07-13",2.9289,2.36018518518518,1.0569
"1981-07-14",0.9096,1.99972222222222,1.0442
"1981-07-15",0,1.78064814814815,1.1212
"1981-07-16",0.2063,1.67074074074074,1.1934
"1981-07-17",1.6027,1.62027777777778,1.2486
